Brand,Address
Koi,"Paya Lebar Quarter 
10 Paya Lebar Road #B1-02, Paya Lebar Quarter S(409057)"
Koi,"Tanjong Pagar Plaza
Blk 1 Tanjong Pagar Plaza, #01-38 S(082001)"
Koi,"J Cube
2 Jurong East Central 1, #01-03 JCube, S(609731)"
Koi,"Downtown East
1 Pasir Ris Close #01-341, Downtown East, S(519599)"
Koi,"Peranakan Place
180A Orchard Road, Peranakan Place, S(238845)"
Koi,"Great World City
1 Kim Seng Promenade, #01-125 Great World City, S(237994)"
Koi,"Junction 8
Junction 8 Shopping Centre, 9 Bishan Place, #02-26 S(579837)"
Koi,"Plaza Singapura (Basement)
68 Orchard Road #B2-11 Plaza Singapura, S(238839)"
Koi,"Ang Mo Kio Hub
53 Ang Mo Kio Ave 3 #01-44, S(569933)"
Koi,"Sun Plaza Mall
30 Sembawang Drive #02-09 Sun Plaza S(757713)"
Koi,"North Point City
1 Northpoint Drive, South Wing of Northpoint City #B2-157 S(768019)"
Koi,"Tiong Bahru Plaza
302 Tiong Bahru Road #01-155, S(168732)"
Koi,"Takashimaya
391 Orchard Road #B2-37C, Takashimaya Shopping Centre, Ngee Ann City, S (238872)"
Koi,"Jurong East MRT
10 Jurong East Street 12, #01-09, S(609690)"
Koi,"Raffles City
252 North Bridge Road #B1-71,Singapore 179103, Raffles City Shopping Centre, S(179103)"
Koi,"HarbourFront Centre
1 Maritime Square #01-67A, Harbourfront Centre S(099253)"
Koi,"Tampines Mall
4 Tampines Central 5 #02-K3B, Tampines Mall S(529510)"
Koi,"Novena Square
238 Thomson Road #01-61, Novena Square S(307683)"
Koi,"Chua Chu Kang Mrt 
10 Choa Chu Kang Avenue 4 #01-04, Choa Chu Kang MRT S(689810)"
Koi,"Hillion Mall
17 Petir Road #B2-53, Hillion Mall S(678278)"
Koi,"Jurong Point
1 Jurong West Central 2 #02-41C, Jurong Point S(648886)"
Koi,"The Arcade
11 Collyer Quay #01-12, The Arcade S(049317)"
Koi,"Woodlands MRT
30 Woodlands Avenue 2 #01-16, Woodlands MRT S(738343)"
Koi,"Eastpoint Mall
3 Simei Street 6 #01-08, Eastpoint Mall S(528833)"
Koi,"Chinatown Point
133 New Bridge Road #01-39, Chinatown Point S(059413)"
Koi,"Waterway Point
83 Punggol Central #B1-K2, Waterway Point S(828761)"
Koi,"White Sands
1 Pasir Ris Central St.3 #01-32, White Sands mall S(518457)"
Koi,"Tampines MRT
20 Tampines Central 1 #01-08, Tampines MRT S(529538)"
Koi,"Yew Tee MRT
61 Choa Chu Kang Drive #01-03, Yew Tee MRT S(689715)"
Koi,"Ion Orchard
2 Orchard Turn # B4-35, ION Orchard S(238801)"
Koi,"CityLink Mall
1 Raffles Link #B1-66, CityLink Mall S(039393)"
Koi,"Seletar Mall
33 Sengkang West Ave #B1-K6, Seletar Mall S(797653)"
Koi,"Bukit Batok MRT
10 Bukit Batok Central #01-07, Bukit Batok MRT S(659958)"
Koi,"Bishan MRT
200 Bishan Road #01-05, Bishan MRT S(579827)"
Koi,"Ang Mo Kio MRT
2450 Ang Mo Kio Ave8 #01-05, Ang Mo Kio MRT S(569811)"
Koi,"Hougang Mall
90 Hougang Ave 10, #01-15 Singapore S(538766)"
Koi,"Boon Lay
301 Boon Lay way #01-34, Boon Lay MRT S(649846)"
Koi,"Paya Lebar
30 Paya Lebar Rd. #01-04, Paya Lebar MRT S(409006)"
Koi,"Changi City Point
5 Changi Business Park Central 1 #B1-18, Changi City Point S(486038)"
Koi,"City Square Mall
180 Kitchener Road #B1-K6, City Square Mall S(208539)"
Koi,"NEX
23 Serangoon Central #B1-07, NEX Mall S(556083)"
Koi,"Changi Airport T3
65 Airport Boulevard #B2-12, Changi Airport Terminal 3 S(819663)"
Koi,"Plaza Singapura
68 Orchard Rd #01-68, Plaza Singapura S(238839)"
Koi,"313@Somerset
313 Orchard Rd #B3-51, 313@Somerset S(238895)"
Koi,"VivoCity
1 Harbourfront Walk #B2-06B, VivoCity S(098585)"
Koi,"Millenia Walk
9 Raffles Boulevard #01-85, Millenia Walk S(039596)"
Koi,"Buona Vista
100 North Buona Vista Road #1-02/03, Buona Vista MRT S(139345)"
Koi,"Yishun 10
51 Yishun Central 1 #01-02, Yishun 10 Multiplex S(768794)"
Koi,"Westgate Mall
3 Gateway Drive #B1-27, Westgate S(608532)
"
Koi,"Lucky Plaza
304 Orchard Road #01-15, Lucky Plaza S(238863)"
Koi,"Compass One
1 Sengkang Square #01-19, Compass One Mall S(545078)"
Koi,"Bedok Mall
311 New Upper Changi Road #01-97, Bedok Mall S(467360)"
Koi,"Tampines
BLK 510 Tampines Center 1 #01-250 S(520510)"
Koi,"Clementi
BLK 443 Clementi Ave 3 #01-67 S(120443)"
Koi,"Bugis+
201 Victoria Street #01-01 Bugis+ S(188067)"
Koi,"Marine Parade
83 Marine Parade Central #01-590 S(440083)"
Koi,"Toa Payoh
BLK 490 Lorong 6 Toa Payoh #01-23 S(310490)"
Gong Cha,"1 Raffles Place (1RP)
1 Raffles Place
#B1-39, Shopping Podium Tower 1, Singapore 048616"
Gong Cha,"313 Somerset (313)
313 Orchard Road
#01-37, Singapore 238895"
Gong Cha,"Ang Mo Kio (AMK)
703 Ang Mo Kio Ave 3
#01-2531, Singapore 560703"
Gong Cha,"Bugis Junction (BJ)
Bugis Junction
#03-08, The Victoria Street , Singapore 188021"
Gong Cha,"Causeway Point (CWP)
Causeway Point 1 Woodlands Square
#02-K10, Singapore 738099"
Gong Cha,"Century Square (CSQ)
2 Tampines Central 5
#01-39, Century Square, Singapore 529509"
Gong Cha,"Changi Hospital (CGH)
6 Simei Street 3, #01-03
Singapore , Singapore , 529898"
Gong Cha,"Compass One (COM)
Compass One 1
#02-40/41, Sengkang Square, Singapore 545078"
Gong Cha,"Eunos MRT (EUNOS)
30 Eunos Crescent
#01-10, Eunos MRT Station, Singapore 409423"
Gong Cha,"FUNAN Centre
109 North Bridge Road
Singapore , S179097"
Gong Cha,"Hougang Mall (HGM)
10 Hougang Mall, 90 Hougang Ave 10
#B1-14/15, Singapore 538766"
Gong Cha,"Mapletree Business City (MTBC)
10 Pasir Panjang Road
Singapore , S 117438"
Gong Cha,"Marina Square (MSQ)
6 Raffles Boulevard
#03-212, Singapore 039594"
